Num_Features,k,F1_Validation
48,9,0.49635063124978757
48,11,0.4930406899956444
48,13,0.49329460823020294
48,15,0.5031401736956354
49,1,0.5081238106612461
49,3,0.49595256680355465
49,5,0.49809230655964154
49,7,0.5068449153958424
49,9,0.4985750778106482
49,11,0.49794085644379915
49,13,0.5034538696083836
49,15,0.5046832266411466
50,1,0.5112615494467253
50,3,0.49895539115066495
50,5,0.5021637331484549
50,7,0.5065173591548318
50,9,0.5028013715738756
50,11,0.4989200109561545
50,13,0.5014672358559097
50,15,0.4983226546135278
51,1,0.5165965034545327
51,3,0.5042546717910671
51,5,0.5018837753915393
51,7,0.505007201519016
51,9,0.5061733036705937
51,11,0.5095612210374705
51,13,0.5055742587771591
51,15,0.5091199175894895
52,1,0.5163670884346087
52,3,0.5049861564865928
52,5,0.5063945813853156
52,7,0.5147952471825732
52,9,0.5072918804902801
52,11,0.5147310919761806
52,13,0.5141387004116561
52,15,0.517678361154187
53,1,0.5142337962103106
53,3,0.5002167461932029
53,5,0.5043754705153979
53,7,0.5135133965637867
53,9,0.5076636615697533
53,11,0.5096336902132368
53,13,0.5122954555108691
53,15,0.5092650264401545
54,1,0.5132027654106782
54,3,0.5022463902325319
54,5,0.5077812150958908
54,7,0.5137569811119039
54,9,0.50738586773022
54,11,0.5091530649118184
54,13,0.513116507437302
54,15,0.5138971522596183
55,1,0.513468080999588
55,3,0.5017617155238275
55,5,0.5046925947754746
55,7,0.511934464351185
55,9,0.5051364192941951
55,11,0.5039751813775195
55,13,0.5052491270862313
55,15,0.5006767398178154
56,1,0.5200067816603581
56,3,0.511485970651706
56,5,0.51289684705544
56,7,0.5152686072187135
56,9,0.5103713429546579
56,11,0.5125073767229311
56,13,0.5103676873325788
56,15,0.5065176114796196
57,1,0.5216385433510912
57,3,0.511405119497718
57,5,0.5125210899900614
57,7,0.5124228428901012
57,9,0.5086548779590939
57,11,0.5076159258218332
57,13,0.5134962979892223
57,15,0.5155243037815121
58,1,0.5163892030383547
58,3,0.5085166818668881
58,5,0.5101005433818518
58,7,0.5120463586615559
58,9,0.5088118455116973
58,11,0.5047908906700636
58,13,0.5119956332232527
58,15,0.5096822050908826
59,1,0.5373119317179883
59,3,0.5353477759788574
59,5,0.5448869282972909
59,7,0.5422600544981705
59,9,0.5440466983231348
59,11,0.5402990769582069
59,13,0.5497666425074169
59,15,0.5521205875550302
60,1,0.5406356878356914
60,3,0.5452164722561788
60,5,0.5504464601895234
60,7,0.5443860098309616
60,9,0.5471546519560235
60,11,0.5472159989524902
60,13,0.554846618491797
60,15,0.5584892821371599
61,1,0.5452976357847925
61,3,0.5461594641687283
61,5,0.550184857060431
61,7,0.549253357636555
61,9,0.5493364353724767
61,11,0.5477462848473695
61,13,0.5558466704544814
61,15,0.560599977827665
62,1,0.5404825711385397
62,3,0.5492476268328864
62,5,0.5462852263458053
62,7,0.5452179688809727
62,9,0.5558923354038964
62,11,0.5571413245700905
62,13,0.566785467713886
62,15,0.5658376169362076
63,1,0.5481027921014191
63,3,0.5577587495281557
63,5,0.557934925372362
63,7,0.5584818768180879
63,9,0.5590468909394531
63,11,0.5638295802016963
63,13,0.5756529855822187
63,15,0.5729445787286288
64,1,0.5441143395721177
64,3,0.5547600801869408
64,5,0.5573412832355042
64,7,0.559955727858577
64,9,0.5620773020338924
64,11,0.5613073198342847
64,13,0.5628907815334453
64,15,0.5665115558644794
65,1,0.5435854368614886
65,3,0.5540530876910779
65,5,0.5561861603640149
65,7,0.557231287815833
65,9,0.5609340709528067
65,11,0.5599439657738811
65,13,0.5616427982967005
65,15,0.5670031519521722
66,1,0.5377609550497077
66,3,0.5516627572411547
66,5,0.55629172107317
66,7,0.5566242609953872
66,9,0.5571376989847858
66,11,0.5620910247315274
66,13,0.561416425378878
66,15,0.5683227292617078
67,1,0.5419265572128003
67,3,0.5430735725382609
67,5,0.5583338337010046
67,7,0.5518586795521367
67,9,0.5610565313544308
67,11,0.559623252669149
67,13,0.5624290655663823
67,15,0.5694327018141133
68,1,0.5361982784255764
68,3,0.5440104734288126
68,5,0.560580798641054
68,7,0.5535658254209415
68,9,0.5579104931672084
68,11,0.5596975312246297
68,13,0.5628429330553539
68,15,0.5674031291696812
69,1,0.5264328277301185
69,3,0.5395973626245583
69,5,0.5547585170923189
69,7,0.5548173748352195
69,9,0.549352727694607
69,11,0.5513786233437792
69,13,0.5535849570548962
69,15,0.5591746655644662
70,1,0.5265111331464319
70,3,0.5458871948166858
70,5,0.5576683279116896
70,7,0.5578004182936248
70,9,0.5538946519701567
70,11,0.5547809942173705
70,13,0.5613577610929121
70,15,0.5631489919117402
71,1,0.5314891219234376
71,3,0.5486072141899943
71,5,0.5624014536653896
71,7,0.55907669118936
71,9,0.55320060759293
71,11,0.5549622186687547
71,13,0.5583531250845948
71,15,0.5654516864786137
72,1,0.5271370546177195
72,3,0.5529429249477852
72,5,0.5606007979235118
72,7,0.5628025264769861
72,9,0.559515299757211
72,11,0.5618058618826904
72,13,0.5604698796694779
72,15,0.5686515704022793
73,1,0.5259286361395991
73,3,0.5519669192617094
73,5,0.5594940539200687
73,7,0.5564618123753396
73,9,0.553992240619703
73,11,0.5570560062892638
73,13,0.5544052554806757
73,15,0.5619988200440553
74,1,0.5467436688082122
74,3,0.5582802170154759
74,5,0.5583503402974358
74,7,0.5655380898447043
74,9,0.560238219742731
74,11,0.563599161796188
74,13,0.5583785882455915
74,15,0.5609113605676751
75,1,0.5409210198162735
75,3,0.5522954742560419
75,5,0.5588812801246833
75,7,0.5623572142904688
75,9,0.5565172037867762
75,11,0.5567597710829835
75,13,0.5573408522624649
75,15,0.5561937082480208
76,1,0.5419154544865428
76,3,0.5411712853736029
76,5,0.559818599049892
76,7,0.5572659288535584
76,9,0.5590903877119926
76,11,0.5560613618097158
76,13,0.5581053725557535
76,15,0.5542993533196511
77,1,0.5332228541673416
77,3,0.538820312878311
77,5,0.5523524947686854
77,7,0.5500286574303864
77,9,0.5509114935770448
77,11,0.5515202403451854
77,13,0.5511978006099236
77,15,0.5488793772036935
78,1,0.5384899425368992
78,3,0.5496408107574786
78,5,0.5581170243406465
78,7,0.5541913657608645
78,9,0.559907229331986
78,11,0.5533635378819712
78,13,0.5505144309433148
78,15,0.5570730053433389
79,1,0.5378983899342071
79,3,0.550958732655599
79,5,0.5579536650138324
79,7,0.556133697218047
79,9,0.5602114314641535
79,11,0.5536313012050224
79,13,0.5515926817469045
79,15,0.5592633374885406
80,1,0.5391887154496587
80,3,0.5479277377293815
80,5,0.5542865877555269
80,7,0.5567731656127063
80,9,0.5637185098360253
80,11,0.5594319189405874
80,13,0.5602043319034326
80,15,0.5598903117836191
81,1,0.5313256353585786
81,3,0.5395834210797417
81,5,0.54654394511244
81,7,0.5451819313009022
81,9,0.5556195429454702
81,11,0.5574273286212352
81,13,0.5561684193854662
81,15,0.5627430892287925
82,1,0.5339383338615293
82,3,0.5492492797880907
82,5,0.5528800852468204
82,7,0.5606246215030233
82,9,0.5633881461964835
82,11,0.5641809457984602
82,13,0.5650803560665384
82,15,0.5653595332160996
83,1,0.5331352167243608
83,3,0.5531126073391847
83,5,0.5630449483344167
83,7,0.564716039651172
83,9,0.565816556418191
83,11,0.5701947360307106
83,13,0.5726566404744684
83,15,0.5734719922510074
84,1,0.5355381734697225
84,3,0.5578366660516801
84,5,0.5655756667762917
84,7,0.570086143526997
84,9,0.5693053962756643
84,11,0.5708082421545998
84,13,0.576601566477788
84,15,0.5751146088745662
85,1,0.5375337363400281
85,3,0.5603257142002308
85,5,0.5634674018596343
85,7,0.5729388643687069
85,9,0.5683763740369836
85,11,0.5725406842637575
85,13,0.576162160928795
85,15,0.5724566746810557
86,1,0.5418726114779425
86,3,0.5595485748154057
86,5,0.5678745592087039
86,7,0.574774614059349
86,9,0.5700426065429349
86,11,0.5687572067525357
