Num_Features,k,F1_Validation
47,7,0.19843808758070466
47,9,0.19843808758070466
47,11,0.19843808758070466
47,13,0.19843808758070466
47,15,0.19843808758070466
48,1,0.19843808758070466
48,3,0.19843808758070466
48,5,0.19843808758070466
48,7,0.19843808758070466
48,9,0.19843808758070466
48,11,0.19843808758070466
48,13,0.19843808758070466
48,15,0.19843808758070466
49,1,0.19843808758070466
49,3,0.19843808758070466
49,5,0.19843808758070466
49,7,0.19843808758070466
49,9,0.19843808758070466
49,11,0.19843808758070466
49,13,0.19843808758070466
49,15,0.19843808758070466
50,1,0.19843808758070466
50,3,0.19843808758070466
50,5,0.19843808758070466
50,7,0.19843808758070466
50,9,0.19843808758070466
50,11,0.19843808758070466
50,13,0.19843808758070466
50,15,0.19843808758070466
51,1,0.19843808758070466
51,3,0.19843808758070466
51,5,0.19843808758070466
51,7,0.19843808758070466
51,9,0.19843808758070466
51,11,0.19843808758070466
51,13,0.19843808758070466
51,15,0.19843808758070466
52,1,0.19843808758070466
52,3,0.19843808758070466
52,5,0.19843808758070466
52,7,0.19843808758070466
52,9,0.19843808758070466
52,11,0.19843808758070466
52,13,0.19843808758070466
52,15,0.19843808758070466
53,1,0.19843808758070466
53,3,0.19843808758070466
53,5,0.19843808758070466
53,7,0.19843808758070466
53,9,0.19843808758070466
53,11,0.19843808758070466
53,13,0.19843808758070466
53,15,0.19843808758070466
54,1,0.19843808758070466
54,3,0.19843808758070466
54,5,0.19843808758070466
54,7,0.19843808758070466
54,9,0.19843808758070466
54,11,0.19843808758070466
54,13,0.19843808758070466
54,15,0.19843808758070466
55,1,0.19843808758070466
55,3,0.19843808758070466
55,5,0.19843808758070466
55,7,0.19843808758070466
55,9,0.19843808758070466
55,11,0.19843808758070466
55,13,0.19843808758070466
55,15,0.19843808758070466
56,1,0.19843808758070466
56,3,0.19843808758070466
56,5,0.19843808758070466
56,7,0.19843808758070466
56,9,0.19843808758070466
56,11,0.19843808758070466
56,13,0.19843808758070466
56,15,0.19843808758070466
57,1,0.19843808758070466
57,3,0.19843808758070466
57,5,0.19843808758070466
57,7,0.19843808758070466
57,9,0.198448936752362
57,11,0.19843808758070466
57,13,0.19843808758070466
57,15,0.19843808758070466
58,1,0.19843808758070466
58,3,0.19843808758070466
58,5,0.19843808758070466
58,7,0.19843808758070466
58,9,0.198448936752362
58,11,0.19843808758070466
58,13,0.19843808758070466
58,15,0.19843808758070466
59,1,0.19843808758070466
59,3,0.19843808758070466
59,5,0.19843808758070466
59,7,0.19843808758070466
59,9,0.19843808758070466
59,11,0.19843808758070466
59,13,0.19843808758070466
59,15,0.19843808758070466
60,1,0.19843808758070466
